AAA 177	  Independent Studies	  (0-6)	
CHM 720	  Seminar in Organic and Biochemistry	  (1; maximum 9)	
CHM 725	  Biological Chemistry Seminar	  (1)	
CHM 730	  Seminar in Chemistry Education	  (1; maximum 9)	
CHM 740	  Topics in Organic and Biochemistry	  (1-3; maximum 10)	
CHM 750	  First Year Graduate Seminar	  (1)	
CHM 760	  Selected Topics in Inorganic and Analytical Chemistry	  (1-3; maximum 10)	
CHM 770	  Topics in Physical Chemistry	  (1-3; maximum 10)	
CHM 780	  Seminar in Analytical, Inorganic, and Physical Chemistry	  (1; maximum 9)	
CHM 790	  Research	  (1-15; maximum 20)	
CHM 850	  Research for Doctoral Dissertation	  (1-16; maximum 60)	
CIT 101	  Computing Skills	  (1)	
CIT 102	  Digital Media and Design Tools	  (2; maximum 6)	
CIT 154	  Personal Computer Concepts and Applications	  (3)	
CIT 167	  Information Technology People and Practices	  (2)	
CIT 168	  Information Technology Tools and Techniques for Organizations	  (4)	
CIT 177	  Independent Studies	  (0-6)	
CIT 201	  Advanced Spreadsheets and Analytics	  (3)	
CIT 205	  Agile Launchpad I	  (3)	
CIT 214	  Database Design and Development	  (3)	
CIT 253	  Contemporary Programming Languages	  (3)	
CIT 262	  Technology, Ethics, and Global Society	  (3) (MPF)	
CIT 263	  Advanced Topics in Visual BASIC	  (3)	
CIT 268	  Introduction to Human-Computer Interaction	  (3)	
CIT 270	  Special Topics in Computer and Information Technology	  (1-3; maximum 6)	
CIT 273	  Web Application Development	  (3)	
CIT 276	  IT Systems Design and Lifecycle Management	  (3)	
CIT 277	  Independent Studies	  (0-6)	
CIT 281	  Enterprise Network Infrastructure	  (3)	
CIT 284	  Enterprise Server Installation and Configuration	  (3)	
CIT 286	  Designing and Deploying Secure Enterprise Networks	  (3)	
CIT 306	  Agile: Business Value Analysis	  (3)	
CIT 307	  Agile: Project Management	  (3)	
CIT 338	  Business Intelligence Tools	  (3)	
CIT 340	  Internship	  (0-20)	
CIT 348	  Information Management and Retrieval	  (3)	
CIT 357	  Current Practices in Information Technology	  (3)	
CIT 358	  Information Technology Assurance and Security	  (3)	
CIT 370	  Special Topics in Computer and Information Technology	  (1-3; maximum 6)	
CIT 376	  IT for Organizations	  (3)	
CIT 377	  Independent Studies	  (0-6)	
CIT 431	  Health Information Technology I	  (3)	
CIT 432	  Health Information Technology II	  (3)	
CIT 448	  Global and Strategic Issues in Information Technology	  (3) (MPF)	
CIT 457	  IT Project Lifecycle I: Requirements and Design	  (3) (MPC)	
CIT 458	  IT Project Lifecycle II: Implementation and Deployment	  (4) (MPC)	
CIT 468	  Health Information Technology Project Lifecycle	  (4) (MPC)	
CIT 477	  Independent Studies	  (0-6)	
CJS 101	  Introduction to the Criminal Justice Studies	  (3) (MPF)	
CJS 125	  Law and the Courts	  (3)	
CJS 177	  Independent Studies	  (0-6)	
CJS 211	  Policing in America	  (3)	
CJS 220	  Criminal Justice Field Experience	  (3)	
CJS 231	  Criminal Procedure	  (3)	
CJS 232	  Criminal Law	  (3)	
CJS 235	  Forensic Science Survey	  (3)	
CJS 245	  Human Trafficking and Contemporary Slavery	  (3)	
CJS 251	  Global and Comparative Justice Exploration	  (1-3; maximum 6)	
CJS 256	  Police Organization, Administration, and Management	  (3)	
CJS 270	  Special Topics	  (1-3; maximum 6)	
CJS 271	  Introduction to Criminal Behavior	  (3)	
CJS 272	  Forensic and Crime Scene Evidence	  (3)	
CJS 276	  Homeland Security and Critical Incident Management	  (3)	
CJS 277	  Independent Studies	  (0-6)	
CJS 281	  Corrections in America	  (3)	
CJS 282	  Writing in Criminal Justice	  (3)	
CJS 311	  Punishment and Social Control	  (3)	
CJS 312	  Community Corrections	  (3)	
CJS 313	  Alternatives to Corrections	  (3)	
CJS 321	  Criminal Justice Administration	  (3)	
CJS 331	  Juvenile Law	  (3)	
CJS 340	  Internship	  (0-20)	
CJS 356	  Crime Prevention and Problem Solving	  (3)	
CJS 377	  Independent Studies	  (0-6)	
CJS 401	  Race and Criminal Justice	  (3)	
CJS 411/CJS 511	  Evidence Law and Expert Testimony	  (3)	
CJS 445/CJS 545	  Geographic Information Systems for Criminal Justice	  (3)	
CJS 451/CJS 551	  Comparative Justice Systems	  (3) (MPF)	
CJS 461	  Applied Research Methods in Criminal Justice	  (3)	
CJS 470	  Special Topics in Criminal Justice	  (1-6; maximum 9)	
CJS 477	  Independent Studies	  (0-6)	
CJS 485	  Capstone: Seminar in Criminal Justice	  (3) (MPC)	
CJS 611	  Criminal Justice Theory	  (3)	
CJS 612	  Criminal Justice Systems: Practice	  (3)	
CJS 615	  Statistics for Criminal Justice	  (3)	
CJS 631	  Law, Liberty, and Criminal Justice	  (3)	
CJS 632	  Legal Aspects of Justice Administration	  (3)	
CJS 641	  Crime and Place	  (3)	
CJS 670	  Special Topics in Justice	  (1-6; maximum 6)	
CJS 677	  Independent Studies	  (0-6)	
CJS 685	  Advanced Research Methods	  (3)	
CJS 691	  Project	  (3; maximum 6)	
CLS 101	  Greek Civilization in its Mediterranean Context	  (3) (MPF, MPT)	
CLS 102	  Roman Civilization	  (3) (MPF, MPT)	
CLS 121	  Introduction to Classical Mythology	  (3) (MPF, MPT)	
CLS 177	  Independent Studies	  (0-6)	
CLS 210	  Topics in Classics	  (1-3; maximum 12)	
CLS 210L	  Ancient Religions	  (3)	
CLS 210S	  Roman Spectacle	  (3)	
CLS 211	  Greek and Roman Epic	  (3) (MPT)	
CLS 212	  Greek and Roman Tragedy	  (3) (MPT)	
CLS 213	  Greek and Roman Comedy	  (3) (MPT)	
CLS 215	  Greek and Roman Historians	  (3)	
CLS 216	  Greek and Roman Cities	  (3)	
CLS 218	  Greek and Roman Erotic Poetry	  (3) (MPT)	
CLS 222	  Race and Ethnicity in Antiquity	  (3) (MPT)	
CLS 235	  Women in Antiquity	  (3) (MPT)	
CLS 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
CLS 277	  Independent Studies	  (0-6)	
CLS 310	  Advanced Topics in Classics	  (1-3; maximum 6)	
CLS 317	  Greek and Roman Philosophical Writers	  (3) (MPT)	
CLS 321	  Justice and the Law in Antiquity	  (3) (MPT)	
CLS 323	  Discoveries of Archaeology	  (3)	
CLS 325	  Russian Reception of Classical Culture	  (3)	
CLS 331	  From Epic to Romance	  (3) (MPT)	
CLS 332	  Classical Mythology and the Arts	  (3)	
CLS 333	  The Greeks in the Near East and Central Asia	  (3)	
CLS 334	  Egypt in Greco-Roman History and Fiction	  (3)	
CLS 336	  Ancient Sexualities	  (3)	
CLS 340	  Internship	  (0-20)	
CLS 361	  Antiquity Through a Lens	  (3)	
CLS 377	  Independent Studies	  (0-6)	
CLS 401	  The Age of Pericles	  (3) (MPC)	
CLS 402	  The Age of Augustus	  (3) (MPC)	
CLS 431/CLS 531	  Archaeology of Power	  (3) (MPT)	
CLS 436	  Havighurst Colloquium	  (3)	
CLS 477	  Independent Studies	  (0-6)	
CLS 480	  Independent Reading for Departmental Honors	  (1-6)	
CMA 101	  Introduction to Community Arts	  (1)	
CMA 277	  Independent Studies	  (0-6)	
CMA 301	  Community Arts Practicum	  (3)	
CMA 340	  Internship	  (0-20)	
CMA 377	  Independent Studies	  (0-6)	
CMA 401	  Capstone in Community Arts	  (3) (MPC)	
CMR 101	  Introduction to Accounting I	  (3)	
CMR 105	  Introduction to Marketing	  (3) (MPT)	
CMR 106	  Introduction to Business and the Economy	  (3) (MPF)	
CMR 108	  Introduction to Business Law	  (3)	
CMR 111	  Introduction to Management I	  (3)	
CMR 112	  Introduction to Human Resources Management	  (3)	
CMR 117	  Personal Finance, An Introduction	  (3) (MPF)	
CMR 125	  Medical Office Simulation	  (3)	
CMR 177	  Independent Studies	  (0-6)	
CMR 181	  Computers and Business	  (3)	
CMR 207	  Management Planning and Control	  (3)	
CMR 211	  Economics for Commerce	  (3)	
CMR 220	  Professional Practice	  (0-2; maximum 6)	
CMR 221	  Professional Development	  (1-3)	
CMR 224	  Medical Terminology	  (3)	
CMR 241	  Management of Business Operations	  (3)	
CMR 242	  Management of Small Business Operations	  (3)	
CMR 244	  Introduction to Global Business	  (3) (MPF)	
CMR 261	  Customer Service & Satisfaction	  (3) (MPT)	
CMR 263	  Sales and Promotions	  (3) (MPT)	
CMR 266	  Consumer Behavior	  (3)	
CMR 277	  Independent Studies	  (0-6)	
CMR 281	  Business Communication Software	  (3)	
CMR 282	  Computer-Based Business Analysis	  (3) (MPF)	
CMR 284	  Emerging Digital Technologies for Business	  (3)	
CMR 285	  Business Information Management	  (3)	
CMR 286	  Digital Commerce	  (3)	
CMR 290	  Special Topics in Business Technology	  (1-3)	
CMR 301	  Personal Organizational Skills	  (3)	
CMR 302	  Financial Information for Managers	  (3)	
CMR 340	  Internship	  (0-20)	
CMR 361	  Marketing for the Small Business	  (3)	
CMR 362	  Business to Business Marketing	  (3)	
CMR 363	  Personal Selling	  (3)	
CMR 401	  Leadership Decision Skills	  (4)	
CMR 402	  Cross Cultural Leadership Skills	  (3) (MPF)	
CMR 441	  Social Media and Career Development	  (3) (MPF)	
CMR 442	  Current Issues and Innovation in Small Business	  (3)	
CMR 461	  Sales Management	  (3)	
CMR 495	  Strategic Management for Commerce	  (3) (MPC)	
CMS 101	  The Smartphone and Society	  (3) (MPF)	
CMS 225	  Linking Film and New Media	  (3)	
CMS 301	  Comparative Approaches to Media Studies	  (3)	
CMS 350	  Special Topics in Comparative Media Studies	  (3)	
CMS 377	  Independent Studies	  (0-6)	
CMS 401	  Senior Seminar in Comparative Media Studies	  (3)	
CMS 477	  Independent Studies	  (0-6)	
CPB 102	  Introduction to Chemical and Biomedical Engineering	  (3)	
CPB 177	  Independent Studies	  (0-6)	
CPB 201	  Principles of Paper Science and Engineering	  (3)	
CPB 202	  Pulp and Paper Physics	  (3)	
CPB 204	  Mass and Energy Balances I	  (2) (MPT)	
CPB 205	  Mass and Energy Balances II	  (2)	
CPB 219	  Statics and Mechanics of Materials	  (3)	
CPB 244	  Introduction to Environmental Engineering	  (3)	
CPB 277	  Independent Studies	  (0-6)	
CPB 301	  Pulp and Paper Chemistry	  (3)	
CPB 311	  Unit Operations Laboratory I	  (2)	
CPB 313	  Fluid Mechanics	  (3) (MPT)	
CPB 314	  Engineering Thermodynamics	  (3)	
CPB 318	  Transport Phenomena I	  (4)	
CPB 320	  Professional Practice	  (0)	
CPB 324	  Chemical and Bio- Engineering Computation and Statistics	  (3)	
CPB 326	  Fundamentals of Medical Device Design	  (3)	
CPB 328	  Bioinstrumentation	  (3)	
CPB 340	  Internship	  (0-20)	
CPB 341	  Engineering Economics	  (3)	
CPB 377	  Independent Studies	  (0-6)	
CPB 403/CPB 503	  Heat Transfer	  (3) (MPT)	
CPB 404	  Papermaking	  (3)	
CPB 405/CPB 505	  Industrial Environmental Control	  (3)	
CPB 412/CPB 512	  Chemical Engineering Thermodynamics	  (3)	
CPB 414/CPB 514	  Mass Transfer and Unit Operations	  (4)	
CPB 415/CPB 515	  Chemical Kinetics and Reactor Design	  (3)	
CPB 416/CPB 516	  Biochemical Engineering	  (3)	
CPB 417/CPB 517	  Biomedical Engineering	  (3)	
CPB 418/CPB 518	  Biological Transport Phenomena	  (4)	
CPB 419/CPB 519	  Biomaterials	  (3)	
CPB 421	  Bioethics	  (1)	
CPB 422/CPB 522	  Biological Systems and Controls	  (3)	
CPB 423/CPB 523	  Biomechanics	  (3)	
CPB 426/CPB 526	  Fundamentals of Tissue Engineering	  (3)	
CPB 436	  Principles in Fermentation	  (3)	
CPB 441/CPB 541	  Pollution Prevention in Environmental Management	  (3)	
CPB 442/CPB 542	  Air Pollution Control	  (3)	
CPB 450/CPB 550	  Special Topics	  (1-5; maximum 20)	
CPB 451/CPB 551	  Unit Operations Laboratory II	  (2)	
CPB 471	  Engineering Design I	  (2) (MPC)	
CPB 472	  Engineering Design II	  (2) (MPC)	
CPB 473/CPB 573	  Chemical Process Design	  (3)	
CPB 477	  Independent Studies	  (0-6)	
CPB 482/CPB 582	  Process Control	  (3)	
CPB 483/CPB 583	  Chemical Process Safety	  (1)	
CPB 490/CPB 590	  Special Topics in Paper and Chemical Engineering	  (1-5; maximum 5)	
CPB 491	  Introduction to Research	  (1-3; maximum 3)	
CPB 600	  Graduate Seminar	  (1; maximum 6)	
CPB 611	  Transport Phenomena in Engineering	  (3)	
CPB 612	  Engineering Analysis	  (3)	
CPB 620	  Papermaking	  (1-4)	
CPB 677	  Independent Studies	  (0-6)	
CPB 690	  Graduate Research	  (1-12)	
CPB 700	  Research for Master's Thesis	  (0-9)	
CPB 704	  Non-Thesis Project	  (0-12; maximum 12)	
CPB 710	  Industrial Practicum	  (1-12)	
CRE 151	  Introduction to Critical Race and Ethnic Studies	  (3) (MPF, MPT)	
CSE 102	  Introduction to Computer Science and Software Engineering	  (3)	
CSE 148	  Business Computing	  (3)	
CSE 151	  Computers, Computer Science, and Society	  (3) (MPF)	
CSE 153	  Introduction to C/C++ Programming	  (3) (MPT)	
CSE 163	  Introduction to Computer Concepts and Programming	  (3) (MPF, MPT)	
CSE 174	  Fundamentals of Programming and Problem Solving	  (3) (MPT)	
CSE 177	  Independent Studies	  (0-6)	
CSE 201	  Introduction to Software Engineering	  (3)	
CSE 211	  Software Construction	  (3)	
CSE 212	  Software Engineering for User Interface and User Experience Design	  (3)	
CSE 220	  Professional Practice	  (0)	
CSE 243	  Problem Analysis Using Computer Tools	  (3) (MPF)	
CSE 251	  Introduction to Game Programming	  (3)	
CSE 252	  Web Application Programming	  (3) (MPT)	
CSE 253	  Programming Languages	  (1-2)	
CSE 256	  Introduction to Programming for the Life Sciences	  (3)	
CSE 262	  Technology, Ethics, and Global Society	  (3) (MPF)	
CSE 270	  Special Topics	  (3)	
CSE 271	  Object-Oriented Programming	  (3) (MPT)	
CSE 273	  Optimization Modeling	  (3) (MPT)	
CSE 274	  Data Abstraction and Data Structures	  (3) (MPT)	
CSE 277	  Independent Studies	  (0-6)	
CSE 278	  Systems I: Introduction to Systems Programming	  (3)	
CSE 283	  Data Communication and Networks	  (3)	
CSE 310	  Undergraduate Research Seminar	  (1; maximum 3)	
CSE 311	  Software Architecture and Design	  (3)	
CSE 320	  Professional Practice	  (0)	
CSE 321	  Software Quality Assurance and Testing	  (3)	
CSE 322	  Software Requirements	  (3)	
CSE 340	  Internship	  (0-20)	
CSE 340U	  Undergraduate Summer Scholars Program	  (1-12)	
CSE 372	  Stochastic Modeling	  (3) (MPT)	
CSE 374	  Algorithms I	  (3)	
CSE 377	  Independent Studies	  (0-6)	
CSE 381	  Systems 2: OS, Currency, Virtualization, and Security	  (3)	
CSE 383	  Web Application Programming	  (3)	
CSE 385	  Database Systems	  (3)	
CSE 386	  Foundations of Computer Graphics and Games	  (3)	
CSE 389	  Game Design and Implementation	  (3)	
CSE 411/CSE 511	  Introduction to Model-Driven Software Engineering	  (3)	
CSE 432/CSE 532	  Machine Learning	  (3)	
CSE 443/CSE 543	  High Performance Computing & Parallel Programming	  (3)	
CSE 448	  Senior Design Project	  (2) (MPC)	
CSE 449	  Senior Design Project	  (1-2) (MPC)	
CSE 451/CSE 551	  Web Services and Service Oriented Architectures	  (3)	
CSE 456/CSE 556	  Bioinformatic Principles	  (3)	
CSE 464/CSE 564	  Algorithms	  (3)	
CSE 465/CSE 565	  Comparative Programming Languages	  (3)	
CSE 466/CSE 566	  Bioinformatics Computing Skills	  (3)	
CSE 467/CSE 567	  Computer and Network Security	  (3)	
CSE 470/CSE 570	  Special Topics  In CSE	  (3)	
CSE 471/CSE 571	  Simulation	  (3) (MPT)	
CSE 473/CSE 573	  Automata, Formal Languages, and Computability	  (3)	
CSE 474/CSE 574	  Compiler Design	  (3)	
CSE 476	  Math for Software Engineering	  (1-2; maximum 2)	
CSE 477	  Independent Studies	  (0-6)	
CSE 480/CSE 580	  Special Problems	  (1-4; maximum 12)	
CSE 484/CSE 584	  Algorithms II	  (3)	
CSE 485/CSE 585	  Advanced Database Systems	  (3)	
CSE 486/CSE 586	  Introduction to Artificial Intelligence	  (3)	
CSE 488/CSE 588	  Image Processing & Computer Vision	  (3)	
CSE 489/CSE 589	  Advanced Graphics and Game Engine Design	  (3)	
CSE 491	  Undergraduate Research	  (1-4; maximum 10)	
CSE 587	  Game Design and Implementation	  (3)	
CSE 600	  Independent Studies	  (1-3; maximum 3)	
CSE 601	  Computer Science Research Methods	  (3)	
CSE 609	  Programming for Engineers and Scientists	  (3)	
CSE 610	  Seminar in Computer Science	  (1-3)	
CSE 611	  Computer Science Seminar Attendance Requirement	  (0; maximum 0)	
CSE 615	  Mathematical Modeling	  (3)	
CSE 616	  Simulation of Physical Systems	  (3)	
CSE 617	  Advanced Networks	  (3)	
CSE 618	  Graphics for Simulation and Virtual Environments	  (3)	
CSE 620	  Special Topics in Computer Science Applications	  (3; maximum 12)	
CSE 621	  Foundations of Software Engineering	  (3)	
CSE 627	  Machine Learning	  (3)	
CSE 630	  Graduate Professional Practice	  (0)	
CSE 631	  Ontologies for Semantic Web	  (3)	
CSE 640	  Internship	  (0-12; maximum 6)	
CSE 650	  Special Topics in Computer Science Theory	  (3; maximum 18)	
CSE 664	  Advanced Algorithms	  (3)	
CSE 667	  Cryptography	  (3)	
CSE 690	  Graduate Research	  (3)	
CSE 700	  Research for Master's Thesis	  (0-9; maximum 6)	
CSE 704	  Non-Thesis Project	  (0-12; maximum 12)	
DST 101	  Beginning ASL I	  (4)	
DST 102	  Beginning ASL II	  (4)	
DST 169	  Disability and Literature	  (3) (MPF)	
DST 177	  Independent Studies	  (0-6)	
DST 201	  Intermediate ASL I	  (3)	
DST 202	  Intermediate American Sign Language II	  (3)	
DST 272	  Introduction to Disability Studies	  (3) (MPF, MPT)	
DST 277	  Independent Studies	  (0-6)	
DST 278	  Women and (Dis)ability: Fictions and Contaminations of Identity	  (3)	
DST 312	  Deaf Culture: Global, National and Local Issues	  (3) (MPF)	
DST 315	  Disability History in America	  (3) (MPF)	
DST 375	  (Dis)Ability Allies: To be or not to be? Developing Identity and Pride from Practice	  (3)	
DST 377	  Independent Studies	  (0-6)	
DST 378	  Media Illusions: Creations of "The Disabled" Identity	  (3)	
DST 470	  Social/Political Activism	  (3) (MPC)	
DST 477	  Independent Studies	  (0-6)	
DST 494	  Disability in Global and Local Contexts	  (3) (MPC)	
ECE 102	  Introduction to Electrical and Computer Engineering	  (3)	
ECE 177	  Independent Studies	  (0-6)	
ECE 205	  Electric Circuit Analysis I	  (4)	
ECE 277	  Independent Studies	  (0-6)	
ECE 287	  Digital Systems Design	  (4)	
ECE 289	  Computer Organization	  (3)	
ECE 291	  Energy Systems Engineering	  (3)	
ECE 301	  Advanced Circuits and Fundamentals of Renewable Energy	  (3)	
ECE 302	  MATLAB and its engineering applications	  (3)	
ECE 303	  Computer-Aided Experimentation	  (3)	
ECE 304	  Electronics	  (3)	
ECE 306	  Signals and Systems	  (3)	
ECE 314	  Elements of Robotics	  (3)	
ECE 317	  Industrial Robotics	  (3)	
ECE 320	  Professional Practice	  (0)	
ECE 325	  Applied Electromagnetics	  (3)	
ECE 340	  Internship	  (0-20)	
ECE 345	  Applied Probability and Statistics for Engineers	  (3) (MPT)	
ECE 353	  Software Defined Radio	  (3)	
ECE 370	  Intermediate Special Topics	  (1-3; maximum 6)	
ECE 377	  Independent Studies	  (0-6)	
ECE 387	  Embedded Systems Design	  (4)	
ECE 388	  Introduction to Smartphone Technologies	  (3)	
ECE 395	  Undergraduate Research Immersion Project	  (1-3; maximum 3)	
ECE 411/ECE 511	  Sensors and Data Fusion with Robotics Applications	  (3)	
ECE 414/ECE 514	  Design and Modeling of Robotic Systems	  (3)	
ECE 425/ECE 525	  Digital Signal Processing	  (3)	
ECE 426/ECE 526	  Biomedical Signal Analysis	  (3)	
ECE 427/ECE 527	  Radar Signal Processing	  (3)	
ECE 429/ECE 529	  Digital Image Processing	  (3)	
ECE 430/ECE 530	  Electromagnetics in Wireless Sensing and Communications	  (3)	
ECE 436/ECE 536	  Control of Dynamic Systems	  (3)	
ECE 448	  Senior Design Project	  (2) (MPC)	
ECE 449	  Senior Design Project	  (2) (MPC)	
ECE 453/ECE 553	  Communication Systems	  (3)	
ECE 461/ECE 561	  Network Performance Analysis	  (3)	
ECE 470/ECE 570	  Special Topics	  (3)	
ECE 477	  Independent Studies	  (1-6)	
ECE 484	  Embedded Systems Design	  (3)	
ECE 487/ECE 587	  Computer Aided Design Tools for Computer Engineering	  (3)	
ECE 491/ECE 591	  Power Systems Engineering	  (3)	
ECE 493/ECE 593	  Power Electronics	  (3)	
ECE 497/ECE 597	  Electric Vehicle Technology	  (3)	
ECE 601	  State Variables for Engineers	  (3)	
ECE 610	  Graduate Seminars	  (1-3)	
ECE 625	  Advanced Digital Signal Processing	  (3)	
ECE 661	  Advanced Optical Network Architectures	  (3)	
ECE 670	  Advanced Topics in Electrical and Computer Engineering	  (1-3; maximum 6)	
ECE 677	  Independent Studies	  (0-6)	
ECE 695	  Graduate Research Project	  (1-2; maximum 3)	
ECE 700	  Research for Master's Thesis	  (0-9)	
ECE 704	  Non-Thesis Project	  (0-12; maximum 12)	
ECO 131	  Economic Perspectives on Inequality in America	  (3) (MPF)	
ECO 177	  Independent Studies	  (0-6)	
ECO 201	  Principles of Microeconomics	  (3) (MPF, MPT)	
ECO 202	  Principles of Macroeconomics	  (3) (MPF, MPT)	
ECO 277	  Independent Studies	  (0-6)	
ECO 301	  Money and Banking	  (3)	
ECO 311	  Examining Economic Data and Models	  (3)	
ECO 315	  Intermediate Microeconomic Theory	  (3) (MPT)	
ECO 317	  Intermediate Macroeconomic Theory	  (3) (MPT)	
ECO 320	  Special Topics in Economics	  (2-3; maximum 9)	
ECO 321	  American Industries and Issues	  (3) (MPT)	
ECO 325	  Economic Analysis of Law	  (3) (MPT)	
ECO 331	  Public Sector Economics	  (3) (MPT)	
ECO 332	  Health Economics	  (3) (MPT)	
ECO 340	  Internship	  (0-20)	
ECO 342	  Comparative Economic Systems	  (3) (MPT)	
ECO 344	  International Economic Relations	  (3) (MPT)	
ECO 347	  Economic Development	  (3) (MPT)	
ECO 356	  Poverty and Income Distribution	  (3) (MPT)	
ECO 361	  Labor Economics	  (3) (MPT)	
ECO 373	  Economic Growth	  (3)	
ECO 377	  Independent Studies	  (0-6)	
ECO 385	  Government and Business	  (3) (MPT)	
ECO 405	  Economics of Strategy	  (3) (MPC)	
ECO 406/ECO 506	  Environmental Economics	  (3) (MPT)	
ECO 411/ECO 511	  Advanced Empirical Methods	  (3)	
ECO 414/ECO 514	  Mathematical Economics	  (3-4)	
ECO 418/ECO 518	  Monetary Theory and Policy	  (3) (MPT)	
ECO 420	  Seminar on Economic Problems	  (1-3; maximum 9)	
ECO 423/ECO 523	  History of Economic Analysis	  (3)	
ECO 441/ECO 541	  International Trade and Commercial Policy	  (3)	
ECO 442/ECO 542	  International Monetary Relations	  (3)	
ECO 451/ECO 551	  Economic History	  (3)	
ECO 461/ECO 561	  Industrial Organization and Public Policy	  (3)	
ECO 462	  Economics of Compensation	  (3) (MPT)	
ECO 465	  Game Theory	  (3)	
ECO 477	  Independent Studies	  (0-6)	
ECO 480	  Independent Reading	  (1-6)	
ECO 482	  Independent Reading	  (3)	
ECO 615	  Advanced Microeconomic Theory	  (3)	
ECO 616	  Microeconomic Analysis for Managerial Decisions	  (3)	
ECO 617	  Advanced Macroeconomic Theory	  (3)	
ECO 618	  Game Theory and Decisions	  (1.5)	
ECO 630	  Topics in Microeconomics	  (3; maximum 6)	
ECO 640	  Internship	  (0-12; maximum 12)	
ECO 650	  Topics in Macroeconomics	  (3)	
ECO 663	  Econometrics	  (3)	
ECO 671	  Topics in Applied Econometrics	  (3)	
ECO 672	  Applied Time Series Analysis	  (3)	
ECO 677	  Independent Studies	  (0-6)	
ECO 685	  Economic Research Methods	  (3)	
ECO 690	  Master's Research	  (1-12)	
ECO 704	  Non-Thesis Project	  (0-12; maximum 12)	
EDL 100	  Career Development for College Students	  (2)	
EDL 110	  The University and the Student	  (1)	
EDL 115	  Miami Tribe Contemporary Issues I	  (1)	
EDL 141	  Mentoring Diverse Students	  (2; maximum 2)	
EDL 151	  The American University	  (2)	
EDL 177	  Independent Studies	  (0-6)	
EDL 195	  Team Building Development - Facilitation & Group Dynamics	  (2)	
EDL 203	  Introduction to Critical Youth Studies	  (3) (MPF)	
EDL 204	  Sociocultural Studies in Education	  (3) (MPF, MPT)	
EDL 215	  Miami Tribe Contemporary Issues 2	  (1)	
EDL 216	  Myaamia Ecology & History 1	  (1)	
EDL 218	  Leadership Identity Development	  (3)	
EDL 224	  Introduction to Education Policy	  (3)	
EDL 232	  Introduction to Community-Based Leadership	  (3) (MPF)	
EDL 260	  Undergraduate Research: Special Topics	  (1; maximum 4)	
EDL 277	  Independent Studies	  (0-6)	
EDL 281	  Outdoor Leadership Study Away/Study Abroad	  (3)	
EDL 290	  The Nature of Group Leadership	  (2; maximum 6)	
EDL 301	  Student Development in Residence Halls	  (1)	
EDL 302	  Career Entry Skills and Post-College Planning	  (2)	
EDL 310	  College Student Development and Group Process for Peer Educators	  (1)	
EDL 312	  Foundations of Education in Global Contexts	  (3)	
EDL 315	  Disability History in America	  (3) (MPF)	
EDL 316	  Myaamia Ecology & History 2	  (1)	
EDL 317	  Myaamiaatawenki: Myaamia Language & Culture 1	  (1)	
EDL 318A	  Teacher Leadership and School Organization	  (3)	
EDL 318E	  Teacher Leadership and School Organization	  (3)	
EDL 318M	  Teacher Leadership and School Organization	  (3)	
EDL 333	  Youth, Media & Pop Culture	  (3)	
EDL 334	  Transnational Youth Cultures	  (3) (MPF, MPT)	
EDL 340	  Internship	  (0-20)	
EDL 351	  Leadership Ethics in Community Contexts	  (3) (MPF)	
EDL 369	  Sexuality, Youth, Education	  (3)	
EDL 377	  Independent Studies	  (0-6)	
EDL 382	  Community-Based Research & Learning in Education	  (3)	
EDL 383	  Service in Urban Communities	  (3)	
EDL 390	  A Comparative View of Student Affairs Practice II	  (4)	
EDL 416	  Myaamiaataweenki: Myaamia Language & Culture 2	  (1)	
EDL 464	  Community-Based Leadership and Change	  (3)	
EDL 477	  Independent Studies	  (0-6)	
EDL 600	  Independent Reading	  (1-3; maximum 9)	
EDL 601	  Educational Leadership Theory	  (3)	
EDL 606	  Curriculum Innovation and Transformation through Understanding and Design	  (3)	
EDL 607	  School Law	  (3)	
EDL 609	  Politics In Education	  (3)	
EDL 614	  Family-Community-School Partnerships	  (3)	
EDL 621	  Foundations of Multi-Cultural Education	  (3)	
EDL 624	  Ethics and Values in Education	  (3)	
EDL 629	  History of Education in America	  (3)	
EDL 630	  Applied Studies in Educational Administration	  (1-3; maximum 15)	
EDL 630B	  Connect Sch Ldshp to Standards	  (2)	
EDL 640	  Internship	  (0-12; maximum 6)	
EDL 645	  Supervision of Teaching	  (3)	
EDL 646	  Curriculum Development for Instruction	  (3)	
EDL 647	  Curriculum and Cultural Studies	  (3)	
EDL 648	  Data-Informed Decision Making in Education	  (3)	
EDL 654	  Foundations of Educational Research in Higher Education	  (3)	
EDL 656	  Professional Development and Field Experience in Student Affairs	  (1-4)	
EDL 656G	  Field Experience Exploration	  (4)	
EDL 656I	  Field Experience Synthesis	  (3)	
EDL 657	  Internships in Student Affairs	  (1-7; maximum 7)	
EDL 660	  Seminar in Student Affairs/Higher Education	  (1-3)	
EDL 661	  Quantitative Research in Higher Education	  (3)	
EDL 666	  Student Cultures in the College Environment	  (3)	
EDL 667	  Diversity, Equity, and Dialogue in Student Affairs	  (3)	
EDL 671	  Crisis Management & Educational Leadership	  (3)	
EDL 672	  Intergroup Dialogue in Higher Education	  (3)	
EDL 675	  Student Development Theory I	  (3)	
EDL 676	  Foundations of Student Affairs in Higher Education	  (3)	
EDL 677	  Independent Studies	  (0-6)	
